,ref_name,concrete_strength,Transverse_yield_max,Longitudinal_yield_max_cor,Longitudinal_yield_max_inter,section,length,load,diameter,num_bar,cover,reinforce_ratio,tran_type,num_tran,close_spacing,tran_ratio,span_to_depth_ratio,axial_load_ratio
43,"Matamoros et al. 1999,C5-00S",37.9 (MPa),Yield Stress: 514.7 (MPa) Strength: 761.2 (MPa),Corner Yield Stress: 573.3 (MPa) Strength: 730.1 (MPa),Intermediate Yield Stress: 573.3 (MPa) Strength: 730.1 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),0 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 27.8 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 77.2 (mm),0.01,3,0
44,"Matamoros et al. 1999,C5-20N",48.3 (MPa),Yield Stress: 406.8 (MPa) Strength: 639.5 (MPa),Corner Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Intermediate Yield Stress: 586.1 (MPa) Strength: 739.5 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),285 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 38.3 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.143
45,"Matamoros et al. 1999,C5-20S",48.3 (MPa),Yield Stress: 407.8 (MPa) Strength: 640.5 (MPa),Corner Yield Stress: 587.1 (MPa) Strength: 740.5 (MPa),Intermediate Yield Stress: 587.1 (MPa) Strength: 740.5 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),285 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 39 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 77.2 (mm),0.01,3,0.143
46,"Matamoros et al. 1999,C5-40N",38.1 (MPa),Yield Stress: 513.7 (MPa) Strength: 760.2 (MPa),Corner Yield Stress: 572.3 (MPa) Strength: 729.1 (MPa),Intermediate Yield Stress: 572.3 (MPa) Strength: 729.1 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),569 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 20.7 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 76.2 (mm),0.01,3,0.362
47,"Matamoros et al. 1999,C5-40S",38.1 (MPa),Yield Stress: 514.7 (MPa) Strength: 761.2 (MPa),Corner Yield Stress: 573.3 (MPa) Strength: 730.1 (MPa),Intermediate Yield Stress: 573.3 (MPa) Strength: 730.1 (MPa),Width: 203 (mm) Depth: 203 (mm), L-Inflection: 610 (mm) L-Measured: 610 (mm),569 (kN),15.9 (mm) corner bars | 15.9 (mm) intermediate bars,4,Clear cover: 20.7 (mm) Number of intermediate bars: 0,0.0193,R: Rectangular ties (around perimeter),2,Bar Diameter: 9.5 (mm) Hoop Sets: 0 Hoop Spacing: 77.2 (mm),0.01,3,0.362
48,"Mo and Wang 2000,C1-1",24.9 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",450 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 50 (mm),0,3.5,0.113
49,"Mo and Wang 2000,C1-2",26.7 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",675 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 50 (mm),0,3.5,0.158
50,"Mo and Wang 2000,C1-3",26.1 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",900 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 50 (mm),0,3.5,0.216
51,"Mo and Wang 2000,C2-1",25.3 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",450 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 52 (mm),0,3.5,0.111
52,"Mo and Wang 2000,C2-2",27.1 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",675 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 52 (mm),0,3.5,0.156
53,"Mo and Wang 2000,C2-3",26.8 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",900 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 52 (mm),0,3.5,0.21
54,"Mo and Wang 2000,C3-1",26.4 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",450 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 54 (mm),0,3.5,0.107
55,"Mo and Wang 2000,C3-2",27.5 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",675 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 54 (mm),0,3.5,0.154
56,"Mo and Wang 2000,C3-3",26.9 (MPa),Yield Stress: 459.5 (MPa) Strength: 576.5 (MPa),Corner Yield Stress: 497 (MPa) Strength: 592 (MPa),Intermediate Yield Stress: 497 (MPa) Strength: 592 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,400 (mm) L-Measured: 1,400 (mm)",900 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,12,Clear cover: 34 (mm) Number of intermediate bars: 2,0.0214,RI: Rectangular and interlocking ties,4,Bar Diameter: 6.3 (mm) Hoop Sets: 0 Hoop Spacing: 54 (mm),0,3.5,0.209
57,"Aboutaha and Machado 1999, ORC1",83 (MPa),Yield Stress: 0 (MPa) Strength: 0 (MPa),Corner Yield Stress: 0 (MPa) Strength: 0 (MPa),None,Width: 305 (mm) Depth: 508 (mm)," L-Inflection: 1,829 (mm) L-Measured: 1,829 (mm)",0 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 0 (mm) Number of intermediate bars: 1,0.0253,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 75 (mm),0,3.6,0
58,"Aboutaha and Machado 1999, ORC2",83 (MPa),Yield Stress: 0 (MPa) Strength: 0 (MPa),Corner Yield Stress: 0 (MPa) Strength: 0 (MPa),None,Width: 305 (mm) Depth: 508 (mm)," L-Inflection: 1,829 (mm) L-Measured: 1,829 (mm)","1,543 (kN)",25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 0 (mm) Number of intermediate bars: 1,0.0253,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 75 (mm),0,3.6,0.12
59,"Aboutaha and Machado 1999, ORC3",83 (MPa),Yield Stress: 0 (MPa) Strength: 0 (MPa),Corner Yield Stress: 0 (MPa) Strength: 0 (MPa),None,Width: 305 (mm) Depth: 508 (mm)," L-Inflection: 1,829 (mm) L-Measured: 1,829 (mm)","2,058 (kN)",25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 0 (mm) Number of intermediate bars: 1,0.0253,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 75 (mm),0,3.6,0.16
60,"Thomsen and Wallace 1994, A1",102.7 (MPa),Yield Stress: 793 (MPa) Strength: 814 (MPa),Corner Yield Stress: 517.1 (MPa) Strength: 896 (MPa),Intermediate Yield Stress: 517.1 (MPa) Strength: 896 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),0 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RJ: Rectangular ties with J-hooks,3,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0
61,"Thomsen and Wallace 1994, A3",86.3 (MPa),Yield Stress: 793 (MPa) Strength: 814 (MPa),Corner Yield Stress: 517.1 (MPa) Strength: 896 (MPa),Intermediate Yield Stress: 517.1 (MPa) Strength: 896 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),401 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RJ: Rectangular ties with J-hooks,3,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0.2
62,"Thomsen and Wallace 1994, B1",87.5 (MPa),Yield Stress: 793 (MPa) Strength: 814 (MPa),Corner Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Intermediate Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),0 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0
63,"Thomsen and Wallace 1994, B2",83.4 (MPa),Yield Stress: 793 (MPa) Strength: 814 (MPa),Corner Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Intermediate Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),194 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0.1
64,"Thomsen and Wallace 1994, B3",90 (MPa),Yield Stress: 793 (MPa) Strength: 814 (MPa),Corner Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Intermediate Yield Stress: 455.1 (MPa) Strength: 758 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),418 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0.2
65,"Thomsen and Wallace 1994, C1",67.5 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),0 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0
66,"Thomsen and Wallace 1994, C2",74.6 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),173 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0.1
67,"Thomsen and Wallace 1994, C3",81.8 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),380 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 10 Hoop Spacing: 25.4 (mm),0,3.92,0.2
68,"Thomsen and Wallace 1994, D1",75.8 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),352 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 8 Hoop Spacing: 31.8 (mm),0,3.92,0.2
69,"Thomsen and Wallace 1994, D2",87 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),404 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 7 Hoop Spacing: 38.1 (mm),0,3.92,0.2
70,"Thomsen and Wallace 1994, D3",71.2 (MPa),"Yield Stress: 1,262 (MPa) Strength: 1,448 (MPa)",Corner Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Intermediate Yield Stress: 475.8 (MPa) Strength: 738 (MPa),Width: 152.4 (mm) Depth: 152.4 (mm), L-Inflection: 596.9 (mm) L-Measured: 596.9 (mm),331 (kN),9.5 (mm) corner bars | 9.5 (mm) intermediate bars,8,Clear cover: 11.1 (mm) Number of intermediate bars: 1,0.0245,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 3.2 (mm) Hoop Sets: 6 Hoop Spacing: 44.5 (mm),0,3.92,0.2
71,"Paultre and Legeron, 2000, No. 1006015",92.4 (MPa),Yield Stress: 391 (MPa) Strength: 637 (MPa),Corner Yield Stress: 451 (MPa) Strength: 716 (MPa),Intermediate Yield Stress: 494 (MPa) Strength: 729 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","1,200 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.14
72,"Paultre and Legeron, 2000, No. 1006025",93.3 (MPa),Yield Stress: 391 (MPa) Strength: 637 (MPa),Corner Yield Stress: 430 (MPa) Strength: 661 (MPa),Intermediate Yield Stress: 494 (MPa) Strength: 729 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","2,400 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.277
73,"Paultre and Legeron, 2000, No. 1006040",98.2 (MPa),Yield Stress: 418 (MPa) Strength: 675 (MPa),Corner Yield Stress: 451 (MPa) Strength: 716 (MPa),Intermediate Yield Stress: 467 (MPa) Strength: 722 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","3,600 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.394
74,"Paultre and Legeron, 2000, No. 10013015",94.8 (MPa),Yield Stress: 391 (MPa) Strength: 637 (MPa),Corner Yield Stress: 451 (MPa) Strength: 716 (MPa),Intermediate Yield Stress: 494 (MPa) Strength: 729 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","1,200 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 15 Hoop Spacing: 130 (mm),0,6.56,0.136
75,"Paultre and Legeron, 2000, No. 10013025",97.7 (MPa),Yield Stress: 391 (MPa) Strength: 637 (MPa),Corner Yield Stress: 430 (MPa) Strength: 661 (MPa),Intermediate Yield Stress: 494 (MPa) Strength: 729 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","2,400 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 15 Hoop Spacing: 130 (mm),0,6.56,0.264
76,"Paultre and Legeron, 2000, No. 10013040",104.3 (MPa),Yield Stress: 418 (MPa) Strength: 675 (MPa),Corner Yield Stress: 451 (MPa) Strength: 716 (MPa),Intermediate Yield Stress: 467 (MPa) Strength: 722 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","3,600 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 15 Hoop Spacing: 130 (mm),0,6.56,0.371
77,"Paultre et al., 2001, No. 806040",78.7 (MPa),Yield Stress: 438 (MPa) Strength: 689 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 499 (MPa) Strength: 734 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","2,900 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.396
78,"Paultre et al., 2001, No. 1206040",109.2 (MPa),Yield Stress: 438 (MPa) Strength: 689 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 499 (MPa) Strength: 734 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","4,200 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.413
79,"Paultre et al., 2001, No. 1005540",109.5 (MPa),Yield Stress: 825 (MPa) Strength: 960 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 499 (MPa) Strength: 734 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","4,200 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 36 Hoop Spacing: 55 (mm),0,6.56,0.412
80,"Paultre et al., 2001, No. 1008040",104.2 (MPa),Yield Stress: 825 (MPa) Strength: 960 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 499 (MPa) Strength: 734 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","3,600 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 25 Hoop Spacing: 80 (mm),0,6.56,0.371
81,"Paultre et al., 2001, No. 1005552",104.5 (MPa),Yield Stress: 744 (MPa) Strength: 874 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 533 (MPa) Strength: 728 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","5,150 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 36 Hoop Spacing: 55 (mm),0,6.56,0.53
82,"Paultre et al., 2001, No. 1006052",109.4 (MPa),Yield Stress: 492 (MPa) Strength: 715 (MPa),Corner Yield Stress: 446 (MPa) Strength: 719 (MPa),Intermediate Yield Stress: 533 (MPa) Strength: 728 (MPa),Width: 305 (mm) Depth: 305 (mm)," L-Inflection: 2,000 (mm) L-Measured: 2,000 (mm)","5,150 (kN)",19.5 (mm) corner bars | 16 (mm) intermediate bars,8,Clear cover: 19 (mm) Number of intermediate bars: 1,0.0215,RD: Rectangular and diagonal ties,3.4,Bar Diameter: 11.3 (mm) Hoop Sets: 33 Hoop Spacing: 60 (mm),0,6.56,0.506
83,"Bechtoula, Kono, Arai and Watanabe, 2002, D1N30",37.6 (MPa),Yield Stress: 485 (MPa) Strength: 606.1 (MPa),Corner Yield Stress: 461 (MPa) Strength: 634.3 (MPa),Intermediate Yield Stress: 461 (MPa) Strength: 634.3 (MPa),Width: 250 (mm) Depth: 250 (mm), L-Inflection: 625 (mm) L-Measured: 625 (mm),705 (kN),12.7 (mm) corner bars | 12.7 (mm) intermediate bars,12,Clear cover: 18.5 (mm) Number of intermediate bars: 2,0.0243,RU: Rectangular ties and U-bars,4,Bar Diameter: 4 (mm) Hoop Sets: 0 Hoop Spacing: 40 (mm),0,2.5,0.3
84,"Bechtoula, Kono, Arai and Watanabe, 2002, D1N60",37.6 (MPa),Yield Stress: 485 (MPa) Strength: 606.1 (MPa),Corner Yield Stress: 461 (MPa) Strength: 634.3 (MPa),Intermediate Yield Stress: 461 (MPa) Strength: 634.3 (MPa),Width: 250 (mm) Depth: 250 (mm), L-Inflection: 625 (mm) L-Measured: 625 (mm),"1,410 (kN)",12.7 (mm) corner bars | 12.7 (mm) intermediate bars,12,Clear cover: 18.5 (mm) Number of intermediate bars: 2,0.0243,RU: Rectangular ties and U-bars,4,Bar Diameter: 4 (mm) Hoop Sets: 0 Hoop Spacing: 40 (mm),0,2.5,0.6
85,"Bechtoula, Kono, Arai and Watanabe, 2002, L1D60",39.2 (MPa),Yield Stress: 524 (MPa) Strength: 673 (MPa),Corner Yield Stress: 388 (MPa) Strength: 588 (MPa),Intermediate Yield Stress: 388 (MPa) Strength: 588 (MPa),Width: 600 (mm) Depth: 600 (mm)," L-Inflection: 1,200 (mm) L-Measured: 1,200 (mm)","8,000 (kN)",25.4 (mm) corner bars | 25.4 (mm) intermediate bars,12,Clear cover: 44.5 (mm) Number of intermediate bars: 2,0.0169,RU: Rectangular ties and U-bars,4,Bar Diameter: 12.7 (mm) Hoop Sets: 0 Hoop Spacing: 100 (mm),0,2,0.567
