,name,pub_year,author_1st,author_2nd,magazine,key_words
110,Performance of dowel beam-to-column connections for precast concrete systems under seismic loads: A review,20 March 2020,Haider Hamad,Hashim Abdul,Construction and Building Materials,"['Beam-to-column connections', 'Cyclic load', 'Pin connections', 'Precast dowel connections', 'Precast building', 'Seismic performance']"
111,Optimized seismic retrofit of steel-concrete composite buildings,15 June 2020,Georgios S.,Dimos C.,Engineering Structures,"['Strengthening', 'Concrete jacket', 'Steel cage', 'Steel bracing', 'Cost-effectiveness', 'Structural optimization']"
112,Impact of time after fire on post-fire seismic behavior of RC columns,August 2020,Ugur,Caglar,Structures,"['Column', 'Fire', 'Reinforced concrete', 'Seismic', 'Time after fire']"
113,Seismic response and design of buried concrete pipes subjected to soil loads,November 2019,Saif,NONE,Tunnelling and Underground Space Technology,"['Concrete pipe', 'Seismic design', 'Soil-structure interaction', 'Evolutionary polynomial regression analysis', 'Bedding factor']"
114,Study on the global bidirectional seismic behavior of monolithic prefabricate concrete shear wall structure,September 2020,Chaogang,Guoliang,Soil Dynamics and Earthquake Engineering,"['Monolithic prefabricate concrete shear wall structure', 'Shaking table test', 'Precast element', 'Seismic performance', 'Failure mechanism']"
115,Performance of reinforced self-consolidating concrete beam-column joints with headed bars subjected to pseudo-static cyclic loading,Available online 28 January 2020,Abdul Hossein,Kiachehr,Ain Shams Engineering Journal,"['Headed bar', 'Self-consolidating concrete', 'Exterior beam-column joint', 'Cyclic loading', 'Seismic criteria', 'Relative head area']"
116,Probabilistic seismic vulnerability analysis of corroded reinforced concrete frames including spatial variability of pitting corrosion,November 2018,Ebrahim Afsar,Rahmat,Soil Dynamics and Earthquake Engineering,"['Corrosion', 'Seismic damage limit state', 'Incremental dynamic analysis', 'Spatial variability', 'Vulnerability analysis', 'Fragility curve', 'Reinforced concrete']"
117,Seismic performance of steel-enhanced damping concrete core walls with concealed steel plate bracings,15 June 2020,Meng-fu,Dan,Engineering Structures,"['Steel-enhanced damping concrete composite core wall', 'Embedded space steel truss', 'The quasi-static test', 'Seismic behavior', 'Finite element analysis']"
118,Influence of Non-uniform corrosion of steel bars on the seismic behavior of reinforced concrete columns,10 April 2018,Dawang,Ren,Construction and Building Materials,"['Corroded RC column', 'Non-uniform corrosion', 'Seismic performance', 'Ductility', 'Energy dissipation']"
119,Seismic vulnerability of multi-span continuous girder bridges with steel fibre reinforced concrete columns,1 November 2017,Yuye,D.,Engineering Structures,"['Seismic vulnerability', 'Fragility curves', 'Girder bridges', 'Columns', 'Steel fibre reinforced concrete']"
120,Post-fire seismic behavior of two-bay two-story frames with high-performance fiber-reinforced cementitious composite joints,15 March 2019,Xiuling,Zhenbo,Engineering Structures,"['Fire damage', 'Frame', 'High-performance fiber-reinforced cementitious composites', 'Multi-hazard evaluation', 'Post-fire performance', 'Seismic behavior']"
121,External steel ties and CFRP jacketing effects on seismic performance and failure mechanisms of substandard rectangular RC columns,15 September 2020,Hamid,NONE,Composite Structures,"['Column', 'CFRP jacketing', 'Ductility', 'Reinforced concrete', 'Retrofitting', 'Substandard', 'Steel tie']"
122,Seismic capacity of 2- and 3-storey RC buildings with eco-concrete made by using residues for replacing natural aggregates,March 2020,D.,V.,Journal of Building Engineering,"['Brewing spent diatomite', 'Recycled aggregate', 'Mechanical behavior', 'Recycled concrete', 'Structural concrete', 'Earthquake', 'Seismic response']"
123,Retrofitting seismically damaged steel sections encased concrete composite walls using externally bonded CFRP strips,15 March 2020,Fang-Jin,Shao-Hua,Composite Structures,"['Steel-concrete composite', 'Structural wall', 'Seismic', 'CFRP', 'Repair']"
124,Innovative decoupling system for the seismic protection of masonry infill walls in reinforced concrete frames,15 October 2019,Marko,Christoph,Engineering Structures,"['Infill masonry', 'Reinforced concrete frame', 'Earthquake', 'INSYSME', 'Isolating element', 'INODIS', 'Decoupling']"
125,Corroded reinforced concrete columns under simulated seismic loading,15 September 2018,Aditya Singh,Umesh Kumar,Engineering Structures,"['RC columns', 'Confinement', 'Corrosion', 'Seismic performance']"
126,Experimental investigation of seismic behavior of ultra-high performance steel fiber reinforced concrete columns,1 December 2017,Shenchun,Chengqing,Engineering Structures,"['UHPSFRC', 'Seismic behavior', 'Failure modes', 'Hysteretic loops', 'Skeleton curves', 'Strength and stiffness degradation', 'Energy dissipation capacity and ductility']"
127,Seismic performance of precast composite shear walls reinforced by concrete-filled steel tubes,1 May 2018,Liwei,Ying,Engineering Structures,"['Concrete-filled steel tube', 'Precast wall', 'Composite wall', 'Axial force ratio', 'Loading rate', 'Seismic behavior']"
128,Seismic performance of circular recycled aggregate concrete-filled steel tubular columns: FEM modelling and sensitivity analysis,August 2019,J.J.,Z.P.,Thin-Walled Structures,"['Concrete-filled steel tube', 'RACFST columns', 'RAC', 'Seismic performance', 'FEM model', 'Grey correlation analysis']"
129,Shaking table study on the seismic performance of an Iranian traditional Un-Reinforced Masonry (URM) building,October 2020,M.,Nader,Structures,"['URM', 'Masonry', 'Shaking table', 'Experimental test', 'Seismic behavior']"
130,Seismic reliability-based robustness assessment of three-dimensional reinforced concrete systems equipped with single-concave sliding devices,15 May 2018,P.,G.,Engineering Structures,"['Seismic isolation', 'Friction pendulum devices', 'Seismic robustness', 'Structural performance', 'Seismic reliability', 'JPDFs', 'Connecting beams']"
131,Seismic performance of irregular RC frames designed according to the DDBD approach,1 March 2019,P.,C.,Engineering Structures,"['Direct displacement based design', 'Reinforced concrete', 'Irregular frame', 'Height irregularity', 'Seismic design', 'Ductility', 'Nonlinear analysis']"
132,Experimental investigation and seismic vulnerability assessment of low flexural strength rectangular bridge piers retrofitted with ultrahigh-performance concrete jackets,1 March 2020,Teng,Haipeng,Engineering Structures,"['UHPC', 'Jacket', 'Seismic', 'Push-over', 'Vulnerability']"
133,Seismic performance of semi-rigid steel-concrete composite frames,April 2020,R.,S.R.,Structures,"['Semi-rigid connections', 'Composite frames', 'Pushover analysis', 'Inter-storey drift', 'Direct Displacement Based Design (DDBD)']"
134,Seismic performance of reinforced concrete frame structures strengthened with FRP laminates using a reliability-based advanced approach,15 April 2018,Osama,David,Composites Part B: Engineering,"['Polymer-matrix composites', 'Finite element analysis (FEA)', 'Prepreg', 'FRP-strengthening', 'Reinforced concrete frame', 'Seismic reliability', 'Probabilistic approach']"
135,Seismic performance of a non-through-core concrete between concrete-filled steel tubular columns and reinforced concrete beams,January 2017,Fa-xing,Guo-an,Thin-Walled Structures,"['Concrete filled steel tube (CFST)', 'Non-through-core composite connection', 'Seismic behavior', 'Energy dissipation', 'Axial compression ratio']"
136,Capacity-curve-based damage evaluation approach for reinforced concrete buildings using seismic response data,15 October 2019,Haoran,Koichi,Engineering Structures,"['Structural health monitoring', 'Damage evaluation', 'Capacity curve', 'Shaking table test', 'Earthquake']"
137,Seismic collapse safety assessment of concrete beam-column joints reinforced with different types of shape memory alloy rebars,May 2020,Mumtasirun,Kamrul,Journal of Building Engineering,"['Shape memory alloy', 'Collapse fragility', 'Collapse margin ratio', 'Maximum drift', 'Residual drift']"
138,Seismic behavior of masonry-infilled precast concrete frames considering effects of opening,30 June 2019,Lei,Zhen-Yun,Construction and Building Materials,"['Precast concrete', 'Reinforced concrete', 'Infilled masonry wall', 'Seismic', 'Experimental study']"
139,Shaking table tests on gravel slopes reinforced by concrete canvas,August 2020,Guangya,Lin,Geotextiles and Geomembranes,"['Geosynthetics', 'Slope', 'Concrete canvas', 'Reinforcement', 'Shaking table']"
140,Seismic performance of reinforced concrete frame buildings in Bhutan based on fuzzy probability analysis,January 2017,K.,H.,Soil Dynamics and Earthquake Engineering,"['Reinforced concrete frame', 'Bhutan', 'Indian Seismic Code', 'Performance criteria', 'Fuzzy set theory', 'Interstorey drift', 'Structural damage', 'Soil structure interaction']"
141,Structural behavior of seawater sea-sand concrete shear wall reinforced with GFRP bars,15 June 2019,Qingtian,Jianzhuang,Engineering Structures,"['Seawater sea-sand concrete (SSC)', 'Glass fiber reinforced plastic (GFRP)', 'Shear wall', 'Cyclic load', 'Seismic performance']"
142,"Non-linear time history analysis of reinforced concrete coupled shear walls: Comparison of old design, modern design and retrofitted with externally bonded CFRP composites",15 April 2019,Sara,Omar,Engineering Structures,"['Reinforced concrete coupled shear wall', 'Coupling beam', 'Non-linear time history analysis', 'CFRP retrofit method', 'Seismic performance', 'Old code', 'Modern code']"
143,In-plane seismic retrofitting of hollow concrete block masonry walls with RC layers,August 2019,Mahmoud R.,M.K.,Structures,"['Masonry walls', 'Seismic retrofitting', 'Hollow concrete block', 'Reinforced concrete layer', 'In-plane response', 'Seismic performance']"
144,Strengthening of reinforced concrete columns by High-Performance Fiber-Reinforced Cementitious Composite (HPFRC) sprayed mortar with strengthening bars,15 October 2018,Chang-Geun,Byung-Chan,Composite Structures,"['Reinforced concrete column', 'High-Performance Fiber-Reinforced Cementitious Composite (HPFRC)', 'Engineered Cementitious Composite (ECC)', 'Sprayed mortar', 'Seismic retrofit']"
145,Study on seismic behavior of encased steel jacket-strengthened earthquake-damaged composite steel-concrete columns,May 2018,Cheng-Xiang,Sheng,Journal of Building Engineering,"['Composite steel-concrete column', 'Encased steel jacket', 'Seismic damage', 'Finite element (FE) analysis', 'Seismic behavior']"
146,Open ground story in properly designed reinforced concrete frame buildings with shear walls,August 2019,Emre,NONE,Structures,"['Infill wall', 'Reinforced concrete', 'Shear wall', 'Soft story', 'Seismic response']"
147,Seismic behavior of concrete shear walls with bolted end-plate DfD connections,1 July 2020,Tao,Jianzhuang,Engineering Structures,"['Design for deconstruction (DfD)', 'Shear wall', 'Bolted end-plate', 'Seismic behavior', 'Disassembly and assembly']"
148,System-level seismic resilience assessment of reinforced masonry shear wall buildings with masonry boundary elements,August 2020,Shadman,Khaled,Structures,"['Reinforced Masonry', 'Incremental Dynamic Analysis', 'Seismic Resilience', 'Masonry Boundary Elements', 'Fragility Functions', 'Macro-modelling approach']"
149,SSI effects on seismic demand of reinforced concrete moment resisting frames,15 October 2018,Romeo,Dimitris,Engineering Structures,"['Soil-structure interaction', 'Dynamic analyses', 'Reinforced concrete', 'Moment resisting frames']"
150,Probabilistic seismic risk assessment of concrete bridge piers reinforced with different types of shape memory alloys,1 May 2018,A.H.M. Muntasir,M. Shahria,Engineering Structures,"['Shape memory alloy', 'Damage states', 'Incremental dynamic analysis', 'Residual drift', 'Fragility curve']"
151,Seismic performance of R.C buildings with Beam-Column joints upgraded using FRP laminates,Available online 4 June 2020,Mohammd S.,Abobaker S.,Journal of King Saud University - Engineering Sciences,"['FRP', 'Retrofitting', 'Seismic', 'Pushover', 'Time-history analysis']"
152,Thin slender concrete rectangular walls in moderate seismic regions with a single reinforcement layer,March 2020,Carlos,Ricardo,Journal of Building Engineering,"['Thin wall', 'Slender wall', 'Reinforced concrete', 'Cyclic behavior', 'Buckling', 'Welded wire mesh']"
153,Effect of transverse reinforcement on the seismic behavior of diagonally reinforced concrete coupling beams,1 October 2019,Sang Whan,Seung Bum,Engineering Structures,"['Coupled shear wall', 'Coupling beams', 'Diagonal reinforcement', 'Transverse reinforcement', 'Shear strength', 'Deformation capacity']"
154,Seismic performance quantification of buckling-restrained braced RC frame structures under near-fault ground motions,15 May 2020,Ke,Feng,Engineering Structures,"['Reinforced concrete frames', 'Buckling-restrained braces', 'Near-fault ground motions', 'Seismic performance', 'Story shear ratio']"
155,Lateral cyclic behavior of interior two-way concrete slab–column connections reinforced with GFRP bars,15 April 2020,Mohamed,Mohamed,Engineering Structures,"['Punching shear', 'GFRP-reinforced concrete', 'Slab–column connection', 'Stirrups', 'Shear reinforcement', 'High-strength concrete', 'Drift capacity', 'Cyclic loading', 'Ductility']"
156,Shaking table tests on seismic behavior of ancient timber structure reinforced with CFRP sheet,15 October 2019,Xiang-bi,Feng-liang,Engineering Structures,"['Seismic behavior', 'Ancient timber structure', 'Carbon fiber reinforced polymer', 'Reinforce', 'Cumulative energy dissipation']"
157,Seismic performance of reinforced concrete filled steel tube drilled shafts with inground plastic hinges,15 June 2018,D.A.,M.J.,Engineering Structures,"['Reinforced concrete', 'Steel tube', 'Drilled shafts', 'Soil-structure interaction']"
158,Experimental investigation of damaged circular reinforced concrete columns with pre-tensioned steel hoops,15 October 2019,Haidong,Xiaodong,Engineering Structures,"['Damaged reinforced concrete columns', 'Pre-tensioned steel hoops', 'Axial compression ratio', 'Ductility']"
159,Transverse seismic failure mechanism and ductility of reinforced concrete pylon for long span cable-stayed bridges: Model test and numerical analysis,15 June 2019,Xiaowei,Jiaxin,Engineering Structures,"['Quasi-static test', 'inverted Y-shape reinforced concrete pylon', 'Cable-stayed bridge', 'Transverse seismic failure mechanism', 'Finite element method']"
160,Cyclic load tests and seismic performance of recycled aggregate concrete (RAC) columns,20 January 2019,Chao,Jincheng,Construction and Building Materials,"['Recycled aggregate concrete (RAC) columns', 'Recycled coarse aggregate (RCA)', 'Column', 'Cyclic loading', 'Seismic performance']"
161,Corrosion effects on the seismic response of existing rc frames designed according to different building codes,1 August 2020,Luisa,Silvia,Engineering Structures,"['Seismic assessment', 'Corrosion', 'RC frames', 'Material degradation', 'Collapse mechanism']"
162,An innovative seismic-resistant steel frame with reinforced concrete infill walls,15 June 2017,Andrea,Graziano,Engineering Structures,"['Ductile design', 'Earthquake resistant systems', 'Experimental tests', 'Hybrid systems', 'Reinforced concrete infill walls']"
163,Seismic retrofit of square reinforced concrete columns using basalt and carbon fiber-reinforced polymer sheets: A comparative study,15 February 2017,Li-Jun,Wan-Yang,Composite Structures,"['Concrete column', 'Fiber-reinforced polymer (FRP)', 'Basalt fiber', 'Seismic load', 'Ductility', 'Energy dissipation']"
164,Experimental and numerical investigations on seismic behavior of steel truss reinforced concrete core walls,1 June 2017,Bin,Huanjun,Engineering Structures,"['Steel truss reinforced concrete core walls', 'Composite shear wall', 'Cyclic loading', 'Seismic behavior', 'Finite element analysis']"
165,Experimental study and parameter analysis on the seismic performance of self-centering hybrid reinforced concrete shear walls,January 2019,Anqi,Ying,Soil Dynamics and Earthquake Engineering,"['Self-centering hybrid shear walls', 'Cyclic loading', 'Parametric analysis', 'OpenSees']"
166,Experimental evaluation of the seismic performance of reinforced concrete structural walls with different end configurations,15 October 2015,Omar A.,Marwan T.,Engineering Structures,"['Displacement ductility', 'Reinforced concrete', 'Seismic response', 'Structural walls']"
167,Seismic retrofit of reinforced concrete strong beam–weak column joints using EBROG method combined with CFRP anchorage system,1 September 2019,Elaheh,Davood,Engineering Structures,"['RC beam-column joint', 'Fiber-reinforced polymer (FRP)', 'Strong beam-weak column', 'Shear deficiency', 'EBROG', 'FRP anchor fan', 'Plastic hinge relocation', 'Cyclic loading']"
168,Comparative analysis of BP neural network and RBF neural network in seismic performance evaluation of pier columns,July 2020,Qinglin,Panxu,Mechanical Systems and Signal Processing,"['BP neural network', 'RBF neural network', 'Seismic performance assessment', 'Incremental dynamic analysis (IDA)']"
169,Seismic behaviour of innovative composite walls with high-strength manufactured sand concrete,15 September 2019,Minsheng,Wenting,Engineering Structures,"['Composite wall', 'Concrete-filled-steel-tube', 'High-strength manufactured sand concrete', 'Ring stirrup', 'Seismic behaviour']"
170,Analytical model for seismic simulation of reinforced concrete coupled shear walls,1 August 2018,Ran,Mu-Xuan,Engineering Structures,"['Coupled wall', 'Conventionally and diagonally reinforced coupling beams', 'Seismic analysis', 'Analytical models', 'Degree of coupling', 'Parametric analyses']"
171,Impact of physical seismic damage on the fire resistance of reinforced concrete walls,10 September 2018,Shuna,Anna C.,Construction and Building Materials,"['Post-earthquake fire', 'Steel reinforced concrete', 'Structural wall', 'Shear wall', 'Load bearing wall', 'Seismic damage', 'Cracking', 'Fire resistance']"
172,Seismic behaviors and resilient capacity of CFRP-confined concrete columns with partially debonded high-strength steel rebars,15 August 2019,Junhua,Hua,Composite Structures,"['Seismic behaviors', 'Residual deformation', 'CFRP', 'PDHS steel rebar']"
173,Seismic performance evaluation of full-scale confined masonry building using light weight cellular panels,November 2020,Ajay,Shubham,Journal of Building Engineering,"['Confined masonry', 'Light weight cellular panels', 'Quasi-static test', 'Seismic parameters', 'Seismic behaviour', 'Finite element analysis']"
174,Experimental and numerical investigations on seismic responses of reinforced concrete structures considering strain rate effect,10 June 2018,Hao,Hong-Nan,Construction and Building Materials,"['RC structures', 'Strain rate effect', 'Shaking table test', 'Fiber beam-column element', 'Seismic response']"
175,Optimization of concrete cable-stayed bridges under seismic action,1 October 2019,Alberto M.B.,Luís M.C.,Computers & Structures,"['Cable-stayed bridges', 'Optimization', 'Seismic action', 'Concrete']"
176,Seismic cracking evolution for anti-seepage face slabs in concrete faced rockfill dams based on cohesive zone model in explicit SBFEM-FEM frame,June 2020,Yongqian,Degao,Soil Dynamics and Earthquake Engineering,"['Concrete faced rockfill dam', 'Slab cracking', 'Cohesive zone model', 'Elasto-plastic analysis', 'Explicit analysis']"
177,Toward a uniform seismic risk design of reinforced concrete bridges: A displacement-based approach,September 2014,Zhenghua,Jamie E.,Structural Safety,"['Reinforced concrete columns', 'Uniform risk', 'Displacement-based design', 'Target ductility factor', 'Multi-parameter probabilistic seismic demand model']"
178,Influence of reinforcement buckling on the seismic performance of reinforced concrete columns,15 November 2015,Junsheng,Junjie,Engineering Structures,"['Reinforced concrete column', 'Reinforcement', 'Simplified buckling model', 'Seismic performance', 'Quasi-static test']"
179,Experimental research and finite element analysis on seismic behavior of CFRP-strengthened seismic-damaged composite steel-concrete frame columns,15 January 2018,Sheng,Chengxiang,Engineering Structures,"['Carbon fiber reinforced polymer strengthening', 'Composite steel–concrete frame columns', 'Seismic damage', 'Finite element analysis', 'Seismic behavior']"
180,Seismic retrofit of external concrete beam-column joints reinforced by plain bars using steel angles prestressed by cross ties,1 October 2017,Mahdi,Mohammad S.,Engineering Structures,"['Seismic retrofit', 'external RC concrete beam-column joints', 'Plain bars', 'Steel angles prestressed by cross ties']"
181,Seismic performance of self-consolidating concrete bridge columns,1 April 2018,Ahmad A.,Nadim I.,Engineering Structures,"['Seismic testing', 'Bridge column', 'Self-consolidating concrete']"
182,Seismic performance of steel plate reinforced concrete shear wall and its application in China Mainland,April 2017,Bin,Huanjun,Journal of Constructional Steel Research,"['Steel plate reinforced concrete shear wall', 'Numerical model', 'Parametric study', 'Seismic performance']"
183,Seismic performance of a reinforced concrete frame building in China,August 2012,Haijuan,Mary Beth D.,Engineering Structures,"['Reinforced concrete frame', 'Seismic performance', 'Push-over analysis', 'Time-history analysis']"
184,Influences of location of reinforcement corrosion on seismic performance of corroded reinforced concrete beams,1 November 2016,Yu-Chen,Nguyen Dang,Engineering Structures,"['Reinforced concrete beams', 'Reinforcement corrosion', 'Corrosion location', 'Cyclic testing']"
185,Shaking table test study on seismic behavior of underground structure with intermediate columns enhanced by concrete-filled steel tube (CFT),December 2019,Cuizhou,Yonglai,Soil Dynamics and Earthquake Engineering,"['Underground structure', 'Seismic resistance', 'Shaking table test', 'Square concrete-filled steel tube (CFT) column', 'Soil-structure interaction']"
186,In-plane cyclic loading tests of concrete hollow block masonry walls retrofitted with high ductile fiber-reinforced concrete,30 March 2020,Mingke,Wei,Construction and Building Materials,"['High ductile fiber-reinforced concrete (HDC)', 'Concrete hollow block masonry walls', 'Retrofitting', 'In-plane cyclic loading', 'Seismic behavior', 'Ultimate shear strength']"
187,Seismic retrofit of gravity load designed RC buildings using external steel concentric bracing systems,April 2020,A.,A.,Engineering Failure Analysis,"['Seismic vulnerability', 'Seismic retrofitting', 'RC buildings', 'Infill walls', 'External steel bracings']"
188,Experimental investigation on the seismic performance of steel–polypropylene hybrid fiber reinforced concrete columns,15 July 2015,Le,Lihua,Construction and Building Materials,"['Seismic performance', 'Steel–polypropylene hybrid fiber', 'Reinforced concrete columns', 'Failure mode', 'Synergetic effect']"
189,Seismic performance parameters of fully grouted reinforced masonry squat shear walls,15 May 2019,Hany M.,Ahmed,Engineering Structures,"['Ductility', 'Equivalent viscous damping', 'Reinforced masonry', 'Shear walls', 'Stiffness degradation', 'Seismic performance', 'Seismic force modification factor']"
190,Seismic behaviour of flat connections between steel-plate composite (SC) walls and reinforced concrete (RC) walls,May 2020,Neng,Feng,Journal of Constructional Steel Research,"['Flat connection', 'Lap-splice', 'Nuclear power plants', 'Steel-plate composite walls']"
191,Damage performance based seismic capacity and fragility analysis of existing concrete containment structure subjected to near fault ground motions,15 April 2020,Song,Jinxin,Nuclear Engineering and Design,[]
192,Experimental and numerical investigation of the seismic performance of hollow rectangular bridge piers constructed with and without steel fiber reinforced concrete,March 2013,Yu-ye,Kent A.,Engineering Structures,"['Steel fiber reinforced concrete', 'Seismic performance', 'Hollow piers', 'Cyclic loading test', 'Numerical simulation', 'Parametric analysis']"
193,Modal behavior factors for the performance-based seismic design of R/C wall-frame dual systems and infilled-MRFs,February 2020,Edmond V.,Jiang,Soil Dynamics and Earthquake Engineering,"['Strength reduction factor', 'Behavior factor', 'Reinforced concrete frames', 'Wall-frame dual system', 'Infilled-moment resisting frame', 'Performance-based seismic design']"
194,A mixed GA-PSO-based approach for performance-based design optimization of 2D reinforced concrete special moment-resisting frames,December 2019,A.,A.R.,Applied Soft Computing,"['Mixed GA-PSO-based approach', 'Performance-based design optimization', 'Reinforced concrete structures', 'Nonlinear static and dynamic analyses for design']"
195,Responses of reinforced soil retaining walls subjected to horizontal and vertical seismic loadings,February 2020,Cheng,Huabei,Soil Dynamics and Earthquake Engineering,"['Geosynthetics', 'Reinforced soil retaining wall', 'Vertical seismic loading', 'Arias intensity', 'Seismic responses']"
196,Post-fire seismic behavior of reinforced concrete structural walls,1 August 2018,Shuna,Anna C.,Engineering Structures,"['Post-fire earthquake', 'Fire', 'Multi-hazard', 'Reinforced concrete', 'Structural wall', 'Wall', 'Effective stiffness', 'Drift capacity']"
197,Probabilistic estimation of floor response spectra in masonry infilled reinforced concrete building portfolio,1 January 2020,Daniele,Emanuele,Engineering Structures,"['Floor response spectra', 'Non-structural elements', 'Masonry infills', 'Seismic demand', 'Regional risk models']"
198,Soil-structure interaction effects on the seismic performances of reinforced concrete moment resisting frames,2017,Romeo,Antonio,Procedia Engineering,"['Soil Structure Interaction', 'Dynamic Analyses', 'RC Moment resisting frames']"
199,Full-scale seismic testing of concrete building columns reinforced with both steel and CFRP bars,15 October 2017,Zhong-Kui,Daiyu,Composite Structures,"['Building columns', 'FRP bars', 'Seismic performance', 'Failure mechanism', 'Post-yield stiffness', 'Residual displacement']"
200,Acoustic emission energy ,1 March 2018,Francisco,Miguel E.,Mechanical Systems and Signal Processing,"['Acoustic emission', 'Damage evaluation', 'Reinforced concrete', 'Seismic loadings', 'Wavelet transform', '-value']"
201,Seismic performance of steel-reinforced recycled concrete columns under low cyclic loads,November 2013,Hui,Jianyang,Construction and Building Materials,"['Steel-reinforced concrete', 'Recycled coarse aggregate', 'Column', 'Cyclic loading', 'Seismic performance']"
202,Seismic Design Evaluation of Reinforced Concrete Buildings for Near-Source Earthquakes by Using Nonlinear Time History Analyses,2017,Mahmood,Banafshehalsadat,Procedia Engineering,"['Multi-story buildings with special moment frames', 'three-component accelerograms', 'roof displacement', 'acceleration', 'base shear', 'inter-story drift', 'plastic hinges', 'life safety performance level']"
203,Effect of corrosion damage on seismic behaviour of existing reinforced concrete beam-column sub-assemblages,1 November 2018,A.,K.,Engineering Structures,"['Beam-column sub-assemblage', 'Corrosion', 'Damage progression', 'Energy dissipation', 'Stiffness and strength degradation']"
204,A contribution to the seismic performance and loss assessment of old RC wall-frame buildings,15 October 2019,Claudia,Rita,Engineering Structures,"['Loss assessment', 'Seismic performance', 'Wall-frame buildings', 'Reinforced concrete', 'Fragility functions', 'Smooth rebars']"
205,Seismic performance of precast segmental bridge columns repaired with CFRP wraps,1 July 2020,Yuye,Armin,Composite Structures,"['CFRP wraps', 'Quasi-static tests', 'Precast segmental columns', 'Resilience', 'Seismic repair']"
206,Experimental investigation on seismic performance of mechanical joints with bolted flange plate for precast concrete column,1 August 2020,Jian,Yantao,Engineering Structures,"['Precast', 'Dry connection', 'Mechanical joint', 'Column–column joint', 'Column base joint', 'Bolted flange plate', 'Steel jacket']"
207,Period elongation-based framework for operative assessment of the variation of seismic vulnerability of reinforced concrete buildings during aftershock sequences,May 2016,Konstantinos,Philippe,Soil Dynamics and Earthquake Engineering,"['Reinforced concrete', 'Structural degradation', 'Seismic vulnerability', 'Time variation', 'Cascading events', 'Aftershock sequence']"
208,Visualization of seismic vulnerability of buildings with the use of a mobile data transmission and an automated GIS-based tool,April 2020,Ayşe Elif,Işıl,Structures,"['Seismic vulnerability', 'Seismic assessment', 'Reinforced concrete buildings', 'GIS visualization', 'Rapid visual screening']"
209,Development and testing of hybrid precast steel-reinforced concrete column-to- H shape steel beam connections under cyclic loading,15 May 2020,Chenglong,Sujian,Engineering Structures,"['Prefabricated', 'Beam-to-column joint', 'Seismic performance', 'Pseudo-static testing', 'Finite element analysis']"
210,Estimation and impacts of model parameter correlation for seismic performance assessment of reinforced concrete structures,November 2017,B.U.,J.W.,Structural Safety,"['Correlation', 'Modeling uncertainty', 'Random effects regression', 'Uncertainty propagation', 'Collapse']"
211,The impact of reinforced concrete on the modern-day architectural heritage of Algeria,July 2020,Wissam,Samia,Journal of Building Engineering,"['Architectural heritage', 'Materials', 'Concrete', 'Numerical analysis', 'Sacred heart of algiers', 'Non-destructive tests']"
212,Experimental study on seismic behaviour of adobe wall reinforced with cold–formed thin–walled steel,February 2020,Jun-Feng,Shi-Yun,Thin-Walled Structures,"['Adobe wall', 'Mechanical properties', 'Reinforcement method', 'Experimental study', 'Seismic performance', 'Cold–formed thin–walled steel']"
213,Out-of-plane seismic behavior of cast-in-situ composite wall with metal tailing porous concrete,1 May 2020,Peng-Fei,Hong-Nan,Engineering Structures,"['Out-of-plane', 'Seismic behavior', 'CCWMTPC', 'Shaking table test', 'Finite element model']"
214,Seismic performance of reinforced concrete squat walls with embedded cold-formed and thin walled steel truss,1 February 2017,Yuntian,Jie,Engineering Structures,"['Wall', 'Composite structure', 'High-rise building', 'Seismic design', 'Cold-formed and thin walled steel', 'Parametric analysis', 'Finite element analysis']"
215,Seismic fragility assessment of superelastic shape memory alloy reinforced concrete shear walls,September 2018,Emad,Maged A.,Journal of Building Engineering,"['Shear wall', 'Shape memory alloy', 'Multi-strip analysis', 'Fragility analysis', 'Inter-story drift ratio', 'Residual displacement']"
216,Seismic performance and height limits of ductile reinforced masonry shear wall buildings with boundary elements,1 July 2019,Nader,Khaled,Engineering Structures,"['RM shear walls', 'Boundary elements', 'Ductility', 'Nonlinear analysis', 'Seismostruct', 'Seismic performance', 'Collapse fragility', 'Building height limits', 'FEMA P695']"
217,Bond behavior between basalt fiber-reinforced polymer bars and concrete under cyclic loading,20 October 2020,Dejian,Chuyuan,Construction and Building Materials,"['Basalt fiber-reinforced polymer', 'Bars', 'Concrete', 'Bond strength', 'Cyclic loading', 'Slip corresponding to bond strength', 'Hysteretic curve area']"
218,Seismic performance of a novel precast concrete beam-column connection using low-shrinkage engineered cementitious composites,20 December 2018,Shuangke,Ran,Construction and Building Materials,"['Precast concrete beam-column connection', 'Low-shrinkage engineered cementitious composites', 'Seismic performance', 'Bond slip', 'Interface', 'Joint shear strength']"
219,Evaluation of post-earthquake fire capacity of a reinforced concrete one bay plane frame under ISO fire exposure,February 2020,Hugo,Hugo,Structures,"['Fire after earthquake', 'Fire safety assessment', 'Fire resistance', 'Reinforced concrete structure', 'Earthquake damage', 'Seismic assessment']"
220,Seismic strengthening of low-rise reinforced concrete frame structures with masonry infill walls: Shaking-table test,15 June 2018,A.,A.,Engineering Structures,"['Masonry infill wall', 'RC frame', 'Shaking-table test', 'Seismic retrofit', 'Force-displacement model']"
